RBP	RBP_name	fimo1_motif	fimo1_not_motif	fimo2_motif	fimo2_not_motif	odd1	odd2	odd	pvalue	pvalue_adj
M262_0.6	QKI	355	24221	222	24354	0.014656702861153545	0.009115545700911555	1.6078799165789794	2.8360701524095928e-08	1.559838583825276e-06
M290_0.6	EIF4B	523	24053	520	24056	0.021743649440818195	0.02161622879946791	1.0058946749006201	0.9500921707590668	1.0
M298_0.6	RBFOX1/2/3	486	24090	588	23988	0.02017434620174346	0.02451225612806403	0.8230309807609221	0.0018198457468661141	0.10009151607763628
M307_0.6	NONO, SFPQ	411	24165	574	24002	0.017008069522036002	0.023914673777185234	0.711198056912732	1.7371822954572385e-07	9.554502625014812e-06
M330_0.6	HuR, ELAVL2/3/4	4312	20264	1798	22778	0.21279115673114884	0.07893581526033892	2.6957491479544538	1.7748988987723047e-265	9.761943943247675e-264
M350_0.6	ZFP36/36L1/36L2	2898	21678	1267	23309	0.13368391918073624	0.05435668625852675	2.4593831666801744	2.2879973843562142e-157	1.2583985613959178e-155
M352_0.6	SRSF2/8	526	24050	1068	23508	0.02187110187110187	0.04543134252169474	0.481409983881894	5.621429602197576e-44	3.091786281208667e-42
Urich	Urich	3213	21363	1356	23220	0.15040022468754388	0.05839793281653747	2.575437475844225	1.3016612651034814e-187	7.159136958069147e-186
m6A	m6A	432	24144	558	24018	0.017892644135188866	0.023232575568323758	0.7701532739049574	5.86163057179622e-05	0.003223896814487921
miR430	miR430	145	24431	121	24455	0.005935082477180631	0.004947863422612962	1.1995243138797713	0.15721832587957374	1.0
