"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001145768	0	32	-6	-6.24817345171333	-6.13614702998459	8.45469130747316e-10	1.07539637090792e-09	2.997741145843e-11	TRUE
NM_200849	0	32	-6	-6.24817345171333	-6.13614702998459	8.45469130747316e-10	1.07539637090792e-09	2.997741145843e-11	TRUE
NM_001009588	0	32	-6	-6.24817345171333	-6.13614702998459	8.45469130747316e-10	1.07539637090792e-09	2.997741145843e-11	TRUE
NM_001109845	361	466	-0.368331117767109	-0.616504569480443	-6.13088015214252	8.73942239000489e-10	1.11108657312049e-09	3.09840355910044e-11	TRUE
NM_212748	6498	4875	0.414593524805147	0.166420073091813	6.13076634408576	8.74567701247065e-10	1.11177649269579e-09	3.10032748592966e-11	TRUE
NM_200501	927	566	0.711767285793648	0.463593834080315	6.12668249846158	8.97302744149665e-10	1.14056997808043e-09	3.18062171299798e-11	TRUE
NM_001243321	473	581	-0.296697980065135	-0.544871431778469	-6.12585568318369	9.01975341361745e-10	1.14640084087132e-09	3.19688180151041e-11	TRUE
NM_001044995	18	66	-1.87446911791614	-2.12264256962948	-6.11918673635853	9.40541341500787e-10	1.1953046690964e-09	3.33325622911299e-11	TRUE
NM_001130192	810398	689158	0.233795832953021	-0.0143776187603128	-6.117746487627	9.49078913185287e-10	1.20604065924596e-09	3.3631948773647e-11	TRUE
NM_200339	8631	6579	0.391659409065694	0.14348595735236	6.11628573964542	9.57815182752395e-10	1.21702708875844e-09	3.39383190703168e-11	TRUE
NM_001123053	402	508	-0.337632995593237	-0.585806447306571	-6.11490752020362	9.6612974696734e-10	1.22747565921823e-09	3.42296904961203e-11	TRUE
NM_001045001	324	153	1.08246216019197	0.834288708478638	6.11277574278349	9.79129205777087e-10	1.24387388601464e-09	3.46869755133107e-11	TRUE
NM_200190	15465	13981	0.14553927933437	-0.102634172378964	-6.11148950656213	9.87054937731331e-10	1.25382401890609e-09	3.49644473855323e-11	TRUE
NM_001214908	928	1029	-0.149046271766396	-0.39721972347973	-6.09727348057749	1.07892847471429e-09	1.37039836913199e-09	3.82152686120488e-11	TRUE
NM_001048066	17	64	-1.91253715874966	-2.16071061046299	-6.09349631768269	1.10470877415382e-09	1.40301044352005e-09	3.9124697002222e-11	TRUE
NM_001144980	20	69	-1.78659636189081	-2.03476981360414	-6.08972649870057	1.1310374340575e-09	1.43631271652394e-09	4.00533724420807e-11	TRUE
