"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001020688	8258	15039	-0.864844316327323	-0.447181060564857	-23.2595186139082	1.13959990571862e-119	5.6413438976067e-119	4.81934846034552e-120	TRUE
NM_001007775	77352	114938	-0.571345351277674	-0.153682095515209	-23.2580393936467	1.17956468978176e-119	5.83696578661353e-119	4.98646644973009e-120	TRUE
NM_001007437	4998	4106	0.283617273978102	0.701280529740568	23.2557165940441	1.2451624960151e-119	6.15923382556728e-119	5.26177708590834e-120	TRUE
NM_201162	1442	3789	-1.39374597526789	-0.976082719505421	-23.2509132367074	1.39259070727845e-119	6.88588066176653e-119	5.88254482756959e-120	TRUE
NM_200049	8106	14799	-0.868437612668806	-0.450774356906341	-23.2440887341153	1.6324973247383e-119	8.06907734137417e-119	6.89333892196475e-120	TRUE
NM_200782	149	1036	-2.79763976722439	-2.37997651146193	-23.2427357998843	1.68474757459111e-119	8.32418460718425e-119	7.11127472432318e-120	TRUE
NM_001020551	2975	6506	-1.12888115395846	-0.711217898195998	-23.2427166837318	1.68549767479801e-119	8.32473747446618e-119	7.11174703378212e-120	TRUE
NM_200708	5176	10150	-0.971570204967394	-0.553906949204928	-23.2348583675317	2.02387811737601e-119	9.99222791939921e-119	8.53626885948364e-120	TRUE
NM_001346309	762	191	1.99621835945757	2.41388161522004	23.2295664156755	2.28916295558503e-119	1.1297707753557e-118	9.65152833363651e-120	TRUE
NM_131287	1996	1152	0.792971003894948	1.21063425965741	23.22715043745	2.42155298862373e-119	1.1946572308475e-118	1.02058473842875e-119	TRUE
NM_001017862	5226	4349	0.265023415855952	0.682686671618418	23.2244598207279	2.57800598291606e-119	1.271361438229e-118	1.08611244077338e-119	TRUE
NM_131033	7521	13877	-0.883699310512645	-0.466036054750179	-23.2089134613006	3.70105657143658e-119	1.82451178827735e-118	1.55866372221114e-119	TRUE
NM_200196	3779	2856	0.404008539230862	0.821671794993328	23.2040862132051	4.14063483640009e-119	2.04043977355507e-118	1.74312902379205e-119	TRUE
NM_001320133	10195	9827	0.0530388143776772	0.470702070140143	23.2027974567215	4.26656068072284e-119	2.10170005737722e-118	1.79546312358764e-119	TRUE
NM_001002728	6429	5640	0.188899188111549	0.606562443874015	23.1908937321537	5.62627828985461e-119	2.77044824510621e-118	2.36676857976766e-119	TRUE
NM_001309824	916	2770	-1.59646647283961	-1.17880321707714	-23.1800812789027	7.23264495760604e-119	3.56009889913257e-118	3.04135990636757e-119	TRUE
