spearman	sample1	sample2
0.82161892041	DMSO_64cell_rep2	DMSO_1cell_rep1
0.750103361301	DMSO_64cell_rep2	DMSO_egg_rep1
0.95644891004	DMSO_64cell_rep2	NAI_4cell_rep1
0.967949323783	DMSO_64cell_rep2	NAI_64cell_rep2
0.577856633878	DMSO_64cell_rep2	DMSO_shield_rep2
0.854662736877	DMSO_64cell_rep2	NAI_egg_rep2
0.885901505775	DMSO_64cell_rep2	DMSO_sphere_rep1
0.6122666348	DMSO_64cell_rep2	DMSO_shield_rep1
1.0	NAI_shield_rep2	NAI_shield_rep2
0.616507807771	NAI_shield_rep2	NAI_64cell_rep1
0.732307876873	NAI_shield_rep2	NAI_sphere_rep1
0.984927556904	NAI_shield_rep2	NAI_shield_rep1
0.615067570954	NAI_shield_rep2	DMSO_4cell_rep1
0.646849705826	NAI_shield_rep2	NAI_sphere_rep2
0.547457228214	NAI_shield_rep2	DMSO_egg_rep2
0.534654658068	NAI_shield_rep2	NAI_egg_rep1
0.545477699486	NAI_shield_rep2	DMSO_1cell_rep1
0.520533896924	NAI_shield_rep2	DMSO_egg_rep1
0.63132571437	NAI_shield_rep2	NAI_4cell_rep1
0.633949884724	NAI_shield_rep2	NAI_64cell_rep2
0.967555762036	NAI_shield_rep2	DMSO_shield_rep2
0.561553948533	NAI_shield_rep2	NAI_egg_rep2
0.670890471681	NAI_shield_rep2	DMSO_sphere_rep1
0.964119647029	NAI_shield_rep2	DMSO_shield_rep1
1.0	NAI_64cell_rep1	NAI_64cell_rep1
0.912668003025	NAI_64cell_rep1	NAI_sphere_rep1
0.644155249252	NAI_64cell_rep1	NAI_shield_rep1
0.967843489255	NAI_64cell_rep1	DMSO_4cell_rep1
0.96474827506	NAI_64cell_rep1	NAI_sphere_rep2
0.829761351901	NAI_64cell_rep1	DMSO_egg_rep2
0.79190646996	NAI_64cell_rep1	NAI_egg_rep1
0.844956308638	NAI_64cell_rep1	DMSO_1cell_rep1
0.78276128531	NAI_64cell_rep1	DMSO_egg_rep1
0.981721795993	NAI_64cell_rep1	NAI_4cell_rep1
0.967377251388	NAI_64cell_rep1	NAI_64cell_rep2
0.558850489383	NAI_64cell_rep1	DMSO_shield_rep2
0.842301603882	NAI_64cell_rep1	NAI_egg_rep2
0.936838767469	NAI_64cell_rep1	DMSO_sphere_rep1
