	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_sphere	NAI_shield
NM_199745	5.09778690616	4.06685675845	4.642397841819999	4.85108207648	3.95960871392	5.093087090769999	4.9557980083599995	4.36011126874	4.60611894065	4.27211502168	3.5504979394	4.4730395706
NM_199744	4.03486495327	4.15211469172	4.9388317755	5.23817300065	5.39620050389	6.343791088680001	4.18886029	4.89222311525	5.1949253745699995	5.35150302049	5.2676432026599995	6.30746082064
NM_199211	4.69753075526	5.669374979800001	5.7990761400699995	5.697186413740001	5.765099031390001	7.2614175759899995	4.84579174268	5.7159436286	5.9398931964	5.87288418707	5.73029668342	7.02662382538
NM_199746	8.09866357721	8.2077633447	8.044521452160001	7.53883871732	7.56886828215	8.356142335189999	8.18279768459	8.17466033737	7.85349402257	7.2981329484	7.326411900669999	8.12714014124
NM_199741	3.36103387584	3.95658186575	5.990569108350001	6.91123424867	6.46234545549	5.695538817439999	3.6674338981	5.21539523958	6.196442661950001	7.230213810589999	6.628992580529999	5.564851383430001
NM_199740	5.2899912664699995	5.47643553184	6.905694839980001	7.153559859239999	7.159451754299999	6.76066900507	5.32291090808	6.62833856413	6.78565637895	7.235489081989999	7.08396810365	6.7259611789600005
NM_199743	7.06637776607	6.6071387263100005	6.286634558769999	5.681673560549999	4.521938500319999	1.6610687093099998	6.976781977030001	6.2701599231300005	6.10004356561	5.57274590729	4.29605659057	1.7479242240400001
NM_199742	6.27831981609	6.54368884298	6.64488717506	6.174963053940001	6.18608028282	6.37783494593	6.4240996605	6.604472583400001	6.50884096161	5.79156647518	5.727135948380001	5.999248076640001
NM_001089554	5.22730810314	4.56636436292	3.9491858863599996	4.71875557558	4.870129868919999	5.37461424506	4.76523579965	4.17588699608	4.09453901058	4.27461678325	5.0314171809	5.04596965073
NM_001089550	4.017717342809999	4.35375518587	4.088189483530001	4.17095549188	3.84015005555	1.7001796154299997	3.95983333296	3.8240528660300006	4.1596825188199995	4.20401566206	3.7083131140199996	2.1699510558400004
NM_001130643	4.85799862425	5.23990927472	4.50369632995	4.23291039726	5.04866405828	2.75660620924	4.77366471255	5.05588278735	4.467762662519999	4.46156761654	5.03082167945	3.5345686718300002
NM_001320414	0.24796648873500002	0.21616613085900002	0.247795716827	0.47152076260700004	0.694243183192	3.7839086417	0.28528972034600003	0.25451896382100003	0.526917645147	0.7804645101090001	1.03264833735	3.3608486073000003
NM_001130649	0.6279278590899999	0.705222703975	1.49390963104	2.53209767716	2.38893080701	1.7862847082599997	0.560112824992	1.11743035972	1.57520354386	2.7619895616	2.76895919253	1.8978047985599997
NM_001130648	2.3136752381	2.3855322465	3.4090353265599997	4.1388591548199996	3.61221674381	0.511416469774	2.18583664813	2.6100336285099996	3.35210867217	4.29090182561	3.77785307289	1.05738148251
NM_001002315	4.62328215392	4.96297863116	5.53463554066	5.80198377035	5.91051625346	4.16116806493	4.52009113116	5.30497213005	5.79461966341	6.03931517984	5.929243166569999	4.58690570645
NM_001002314	0.845565273037	1.46339397711	2.41967375248	2.99001761033	4.191741910169999	3.2034124819599996	0.688583741956	1.62821997188	2.3771500590200003	3.10230912211	4.27477037478	3.04898875324
NM_001002317	7.6728986721500005	7.2304847967	6.820206141799999	6.56367729512	5.3483693270599995	6.39552716314	7.5993571615199995	7.313960528130001	6.90095915803	6.97712484722	5.90548421604	6.30042134648
NM_001002316	2.56970852348	3.38273507282	5.48234982815	6.20345210266	6.10969860423	4.5981661682	2.7696318667299997	4.46084185556	5.13726896006	6.11970190268	5.99224325676	4.71133712146
NM_001002311	2.03509734425	2.12577903063	2.37706537013	2.15681997657	1.7669582948299998	1.0389853149200001	2.07110060034	2.5293296181000002	2.04448430625	2.0401720963	1.58971885229	1.4061560005200002
NM_001002313	2.20663786481	2.50853075759	3.0654518551099996	2.8239693729299997	2.3969888566999997	2.44085085574	2.0805176761	2.61679788271	2.81486665794	2.8597303432800003	2.1046476938	1.8826459145400003
NM_001002312	3.0932494058599995	3.23864405533	3.25398340293	3.13466666701	3.28094451603	2.6449318525	2.88794809306	3.0679510964700003	3.07675751103	3.1063045677999996	3.0803438885500003	2.3974780931099997
NM_001002319	4.34908660732	4.74732994125	5.41111079926	5.34061043469	5.30110825701	3.5412905677199995	4.5903195923	5.26458213344	5.53891747175	5.55828111029	5.21102555931	4.14472143645
NM_001002318	4.0898797806300005	4.41903848442	5.34281042795	5.578422825800001	5.08513902713	1.62455857865	4.18190424792	4.6311435743	5.172116459740001	5.54629521561	5.08537490339	2.0292087244999997
NM_201578	5.30227888973	5.66570487602	5.953841831139999	6.31054447564	6.54091492052	6.34221176784	5.32894545311	6.10660932651	6.0203412777	6.59166842244	6.425391610959999	6.213515607250001
