	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
4691	NM_001327987	4.4336174521	5.01473678191	0.202606934479	0.164839606513	21.8828514606	30.4219167225	4.45172883668	4.92703914732
4692	NM_001327988	3.55104399362	6.90333085563	0.223648506288	0.153881633556	15.877789897	44.8613047321	3.98893820595	5.48739967481
4693	NM_213499	21.7950372223	14.4443776023	5.8498279334	11.2583608944	3.72575697447	1.28299116877	1.89753357252	0.359511239936
4694	NM_001104944	3.33267818435	3.53390263154	41.0516736756	23.2284239323	0.081182516715	0.152136995684	-3.62268712449	-2.71655707397
4695	NM_183069	20.2218252074	12.5083016705	96.6152767912	94.1415512129	0.209302564553	0.132866959481	-2.25633810606	-2.91194570599
4696	NM_200370	2.54610648759	4.49973060653	69.5872535928	57.9458621111	0.0365886905451	0.0776540453899	-4.77245840509	-3.68679510596
4697	NM_212709	35.8647983179	18.5925843633	240.280599274	267.668991441	0.149262147782	0.0694611066572	-2.74407974409	-3.8476507938
4698	NM_001037805	30.2098431191	27.4576194172	50.0666390477	51.4107116251	0.603392672121	0.534083628669	-0.728830919051	-0.904862433087
4699	NM_001113519	1.87961948795	7.97243764605	0.501052023899	0.498154473368	3.75134596468	16.0039467118	1.90740832046	4.00035582497
4700	NM_001301331	10.6614482431	5.23387869143	23.4996899422	36.0259961997	0.453684634534	0.145280609658	-1.1402382958	-2.78308593298
4701	NM_200393	25.7840869949	15.3109093624	42.8953692068	37.366195023	0.601092553152	0.409752969308	-0.734340948056	-1.28717369092
4702	NM_212703	71.0208798724	39.7464503809	59.2928598065	79.8549037516	1.19779818521	0.49773337032	0.260384851601	-1.00655497976
4703	NM_212702	49.154235214	18.7105077313	51.7952720311	70.0561857494	0.949010079231	0.267078596003	-0.075504685008	-1.90466373358
4704	NM_212705	10.682892658	7.55194478998	2.37834003309	2.84853312509	4.49174319457	2.65116972784	2.16727544721	1.40662903447
4705	NM_212704	14.8336213744	8.38894057944	71.7841763653	74.600553857	0.206641938732	0.112451451708	-2.27479501077	-3.15262580897
4706	NM_212707	1.11197811427	1.572157953	30.8603686173	29.9679227326	0.0360325609865	0.0524613590014	-4.79455499593	-4.25260100895
4707	NM_001113627	5.69909664474	4.83456283894	27.766554182	33.8937249524	0.205250410526	0.142638876244	-2.28454298732	-2.80956085279
4708	NM_001030174	7.12689055848	3.48794147015	10.9878139344	11.3578039467	0.648617696025	0.307096467461	-0.624559709979	-1.70323617784
4709	NM_001253810	1.5390258282	3.26390195719	7.67320768862	4.00927919618	0.20057137649	0.814086971119	-2.31781236103	-0.296745165138
4710	NM_001079967	7.43223316691	2.76525805962	26.0067772027	27.1108616085	0.285780629756	0.101998162196	-1.80701996118	-3.29338493695
4711	NM_174863	7.97789426273	0.89048348915	16.19913927	16.5078552731	0.492488775469	0.0539430152747	-1.02183725105	-4.21242002303
4712	NM_001030175	4.31102121195	0.761886204969	7.7033828791	10.0175963522	0.559627020961	0.0760547918066	-0.837462471797	-3.71681704245
4713	NM_001003832	32.3702795074	12.4817349572	78.6693782734	73.9256922585	0.411472420627	0.16884163781	-1.28113235916	-2.56625736587
4714	NM_001003831	4.66438360637	4.94601536341	12.8847928952	21.5426700749	0.36200687464	0.229591566236	-1.46591100003	-2.12285844753
