value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_131310	665971	360751	0.884455962008879	1.09599997026683	377.093864121742	0	0	0	TRUE
NM_001099239	135769	9416	3.84989597746613	4.06143998572409	376.94898875494	0	0	0	TRUE
NM_001130697	138693	10785	3.68479689336029	3.89634090161825	376.109969958079	0	0	0	TRUE
NM_001001820	117031	1567	6.22274174167376	6.43428574993172	367.495782855361	0	0	0	TRUE
NM_214714	446535	201762	1.14611877830266	1.35766278656062	365.354082517808	0	0	0	TRUE
NM_214793	217435	52501	2.05016737874644	2.2617113870044	362.936969347267	0	0	0	TRUE
NM_001004601	395757	167585	1.23972184465755	1.4512658529155	361.710259680284	0	0	0	TRUE
NM_001044324	573256	301086	0.929003923199407	1.14054793145736	361.208613330439	0	0	0	TRUE
NM_200029	172105	29727	2.5334432299187	2.74498723817666	360.374878406943	0	0	0	TRUE
NM_001326405	134112	12656	3.40554492165783	3.61708892991578	360.364846142375	0	0	0	TRUE
NM_201052	229341	60381	1.92532773767321	2.13687174593117	359.879017927443	0	0	0	TRUE
NM_200458	940856	614084	0.615537918267734	0.82708192652569	354.633200214652	0	0	0	TRUE
NM_213278	211240	53088	1.99242535000294	2.20396935826089	352.101059489633	0	0	0	TRUE
NM_212630	234009	67360	1.79659997349548	2.00814398175344	349.337639878784	0	0	0	TRUE
NM_213130	113593	590	7.58894326382912	7.80048727208707	346.398370034008	0	0	0	TRUE
NM_214722	236065	73569	1.68201427081559	1.89355827907355	337.488929583952	0	0	0	TRUE
NM_131059	290323	108512	1.41980427524551	1.63134828350347	337.4735683686	0	0	0	TRUE
NM_213113	185972	44499	2.06324060437204	2.27478461263	336.814472675916	0	0	0	TRUE
NM_173247	514961	275203	0.903966978516944	1.1155109867749	336.255454112019	0	0	0	TRUE
NM_183074	128337	215	9.2213847892032	9.43292879746116	335.539682301081	0	0	0	TRUE
NM_131139	100910	839	6.91018262401651	7.12172663227447	335.284712085198	0	0	0	TRUE
NM_001033595	465484	239634	0.957898962527256	1.16944297078521	331.994354690362	0	0	0	TRUE
NM_131884	100838	680	7.21228894777742	7.42383295603538	331.562036444682	0	0	0	TRUE
NM_001076559	150275	27578	2.4460152808182	2.65755928907615	330.990040171277	0	0	0	TRUE
NM_001003875	203490	58860	1.78959845125345	2.0011424595114	325.00622238631	0	0	0	TRUE
NM_001202486	88425	1862	5.56952933591685	5.78107334417481	321.407394141479	0	0	0	TRUE
NM_212584	437556	226273	0.951403224639542	1.1629472328975	320.436578511533	0	0	0	TRUE
NM_214815	211702	66107	1.67915994851942	1.89070395677738	319.263993383375	0	0	0	TRUE
NM_213107	226937	77563	1.548851335869	1.76039534412696	314.811420929003	0	0	0	TRUE
NM_201153	176574	46860	1.91384406672733	2.12538807498528	314.681709160132	0	0	0	TRUE
NM_213235	237315	84887	1.48318775741798	1.69473176567594	313.475641967931	0	0	0	TRUE
NM_001305582	257021	97999	1.39104730730267	1.60259131556063	313.473917829956	0	0	0	TRUE
NM_001005589	167504	42287	1.98590942872058	2.19745343697854	312.94690495141	0	0	0	TRUE
NM_213644	142716	29611	2.26894196748402	2.48048597574198	310.447769587188	0	0	0	TRUE
