egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_199749	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2835936343449297	NULL	0.28550416666666667	0.28254075774971293	0.2644896459585839	0.24165693430656934	0.2620715746421268	0.2694385763490241	0.27449335106382977	0.24681250000000002	0.31809202453987734	0.2545924225028703	0.32597873754152823	0.32870344827586206	0.3441104294478528	0.315345579793341	0.2969041095890411	NULL	0.3184928425357873	0.27445464982778417
NM_199748	0.3287707641196014	0.42080909090909097	0.29713703703703703	0.34133032490974724	0.35528890728476825	0.4931578947368421	0.36096111111111107	0.3213898916967509	0.2969950124688279	0.34780733944954123	0.30330370370370374	0.28084837545126357	0.2712698145025295	0.32051456310679605	0.2697315689981096	0.2635830324909747	0.2777946799667498	0.31263302752293576	0.2939629629629629	0.25518050541516246	0.2953976801988401	0.3654424778761063	0.29907222222222224	0.277528880866426	0.2772633484162896	0.2932272727272727	0.2871403887688985	0.2664729241877256
NM_199745	0.2976144680851064	0.26201449275362315	0.29870198065407644	0.2984818181818182	NULL	NULL	NULL	0.32703061224489793	NULL	NULL	NULL	0.25253153153153146	0.23909004739336492	0.2528688524590164	0.23952995867768595	0.2241150442477876	NULL	NULL	NULL	0.15505309734513273	NULL	NULL	NULL	0.2386036036036036	0.29921192052980133	0.34191176470588236	0.2992264875239923	0.27324778761061946
NM_199744	NULL	NULL	NULL	0.31800165562913907	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.29897371714643306	0.2452145328719723	NULL	0.22558950969213226	0.26470344009489916	0.27049184505606527	NULL	0.26186795937211443	0.2798896797153025	0.2981143576826196	NULL	0.2879157608695653	0.3055	0.3007865731462926	NULL	0.2875326086956522	0.30539857651245556
NM_199211	0.30894591416813644	NULL	0.31055916305916303	0.3101933962264151	0.36072556218448826	0.3743756906077348	0.3590711086226204	0.36300943396226415	0.2867156771799629	0.2925086705202312	0.28687182382834553	0.28068396226415093	0.2666025758969641	0.25076136363636364	0.268015117581187	0.2678537735849057	0.2848503683241252	0.3012298850574713	0.28715509518477045	0.25199056603773584	0.3215849748053138	0.36237837837837833	0.31938745800671886	0.3045	0.3387869903802107	0.4169189189189189	0.33719540873460246	0.28401415094339627
NM_199746	0.3202804166666667	0.281739299610895	0.3773406593406593	0.30272244355909694	0.38717375	0.3713774319066148	0.44268445839874415	0.3663897742363878	0.3023206680584551	0.27478571428571424	0.35470486656200945	0.28477091633466134	0.2635396825396825	0.24310358565737053	0.28897959183673466	0.2561852589641434	0.28989745727386407	0.30303515625	0.3657488226059655	0.25558100929614874	0.32749958333333334	0.3225719844357977	0.3780565149136577	0.30695617529880476	0.3244720367278798	0.33230830039525694	0.3786624803767661	0.300234395750332
NM_199741	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.26174636174636173	0.29950000000000004	0.2612016574585635	0.23984027777777778	0.24825987525987525	0.32819148936170217	0.23803729281767955	0.24747916666666667	0.24196049896049895	0.21862765957446811	0.2574930939226519	0.1790972222222222	0.29531600831600835	0.36102127659574473	0.2924060773480663	0.2670555555555556	0.28298331595411885	0.34523076923076923	0.28444475138121544	0.2362986111111111
NM_199740	0.308134903640257	0.34268085106382973	0.3012774369461486	0.33196610169491525	0.35223993644067797	0.47779310344827586	0.34799728997289975	0.3493587570621468	0.2855164319248826	0.27492753623188404	0.2881961178045515	0.27627118644067794	0.2698789775691184	0.2906086956521739	0.27096184738955825	0.2612683615819209	0.28109337506520604	0.24617391304347827	0.29141030789825967	0.24435875706214688	0.32335837245696397	0.4397246376811593	0.3218406961178045	0.3070819209039548	0.3168450704225352	0.5385652173913043	0.31104819277108436	0.29809322033898306
NM_199743	0.3075634477254589	0.352393063583815	0.28026132686084143	0.3312552415679125	0.3579896290386917	0.45108045977011496	0.3368349514563107	0.3670592525068368	0.2919674532139951	0.35710650887573964	0.2956719798657718	0.2779070191431176	0.25058794587945876	0.2620062111801243	0.232121083827265	0.26879307201458524	NULL	NULL	NULL	0.2295164021164021	0.2770825263157895	0.3072285714285714	0.281414762741652	0.2687411121239745	NULL	NULL	NULL	NULL
NM_199742	0.3275152561888313	0.39536	0.31955316863587535	0.33069493844049247	0.3392174411933448	0.4871481481481481	0.3262760472610097	0.33930779753761975	0.29811545089029295	0.3630886075949367	0.2865026852846401	0.3058837209302326	0.28137079953650057	0.376671875	0.27696025778732547	0.27864432284541724	0.27415834767641994	0.24181481481481482	0.28322663802363046	0.2661928864569083	0.3199016580903374	0.3914942528735633	0.3213200859291085	0.30957455540355683	0.296921749136939	0.4840921052631579	0.2984822771213749	0.2754746922024624
NM_001089554	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001089550	NULL	NULL	NULL	0.29521757322175735	NULL	NULL	NULL	0.30405200000000004	NULL	NULL	NULL	0.2821519607843137	NULL	NULL	NULL	0.2614560669456067	NULL	NULL	NULL	0.22769411764705882	NULL	NULL	NULL	0.26779310344827584	NULL	NULL	NULL	NULL
NM_001130643	0.2639839924670433	NULL	0.2639839924670433	NULL	0.31198075240594925	NULL	0.31227870289219983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25945427135678395	NULL	0.25945427135678395	NULL	0.2801730103806228	NULL	0.28072465034965033	NULL	NULL	NULL	NULL	NULL
NM_001320414	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
