value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_212937	38119	143716	-1.91463850923729	-1.70309450097933	-227.447610207709	0	0	0	TRUE
NM_001327898	1728	53005	-4.938953333948	-4.72740932569004	-226.982930243447	0	0	0	TRUE
NM_213479	24474	113799	-2.21716606205111	-2.00562205379315	-226.160016671614	0	0	0	TRUE
NM_001114739	3085	56283	-4.18935683475827	-3.97781282650031	-224.110163099663	0	0	0	TRUE
NM_200771	20955	104647	-2.32016452670227	-2.10862051844432	-223.9756968025	0	0	0	TRUE
NM_131577	2866	55489	-4.2750912888523	-4.06354728059434	-223.967254256918	0	0	0	TRUE
NM_001034970	14754	89518	-2.60107166339377	-2.38952765513582	-223.590613479643	0	0	0	TRUE
NM_001045562	3306	56760	-4.1017159596556	-3.89017195139764	-223.467736156691	0	0	0	TRUE
NM_001006022	23054	108584	-2.23572254245478	-2.02417853419682	-222.243715178037	0	0	0	TRUE
NM_131294	3944	57773	-3.87266395515523	-3.66111994689727	-220.77037010929	0	0	0	TRUE
NM_001013300	17597	95133	-2.4346163800037	-2.22307237174574	-220.718089863223	0	0	0	TRUE
NM_200565	7890	69780	-3.14471639218091	-2.93317238392296	-220.526526239178	0	0	0	TRUE
NM_001256729	3363	55678	-4.04928670533623	-3.83774269707828	-220.337380611617	0	0	0	TRUE
NM_001012499	1112	48354	-5.44240654588624	-5.23086253762829	-219.841566107059	0	0	0	TRUE
NM_001126422	2034	50990	-4.64782275365842	-4.43627874540047	-219.72698051741	0	0	0	TRUE
NM_001122749	31489	125094	-1.99009274636591	-1.77854873810795	-218.716873173798	0	0	0	TRUE
NM_001045485	4477	58094	-3.69778494514252	-3.48624093688456	-217.294924716217	0	0	0	TRUE
NM_001089408	2317	50873	-4.45657022366452	-4.24502621540657	-217.090134744797	0	0	0	TRUE
NM_001044993	3182	53703	-4.07699694266616	-3.86545293440821	-216.912236791856	0	0	0	TRUE
NM_212671	9974	73849	-2.88833427726426	-2.67679026900631	-216.442947381604	0	0	0	TRUE
NM_212678	3125	53069	-4.08594126884929	-3.87439726059133	-215.792145697541	0	0	0	TRUE
NM_001123279	3998	55882	-3.8050332780985	-3.59348926984055	-215.62853489214	0	0	0	TRUE
NM_001305546	5478	60260	-3.45947950177645	-3.24793549351849	-214.87465197299	0	0	0	TRUE
NM_194366	1896	48206	-4.66818185452394	-4.45663784626599	-213.868604583533	0	0	0	TRUE
NM_200177	7700	66410	-3.10847014764225	-2.8969261393843	-213.815273852059	0	0	0	TRUE
NM_199933	5663	60322	-3.41304582759166	-3.2015018193337	-213.623831042244	0	0	0	TRUE
NM_200823	16108	88195	-2.45291949063507	-2.24137548237711	-213.58663631485	0	0	0	TRUE
NM_001018165	5305	59200	-3.48017251960155	-3.26862851134359	-213.565851910971	0	0	0	TRUE
NM_199888	51925	162274	-1.64393064953273	-1.43238664127477	-213.043655939581	0	0	0	TRUE
NM_001080605	4843	57496	-3.5694886831197	-3.35794467486174	-212.899584383702	0	0	0	TRUE
NM_199822	5585	59565	-3.41483567576231	-3.20329166750435	-212.3318532922	0	0	0	TRUE
NM_001199675	3652	53438	-3.87110734328894	-3.65956333503098	-212.292451175253	0	0	0	TRUE
NM_199838	7323	64698	-3.14321441412923	-2.93167040587128	-212.289917015233	0	0	0	TRUE
NM_001114406	14027	82433	-2.55501551201756	-2.34347150375961	-212.109372822258	0	0	0	TRUE
NM_194374	10080	72129	-2.83908378351853	-2.62753977526057	-211.771396715926	0	0	0	TRUE
NM_001111226	5184	58074	-3.48575478355578	-3.27421077529783	-211.6812312566	0	0	0	TRUE
NM_001199367	3305	51919	-3.9735404193394	-3.76199641108144	-211.325466860892	0	0	0	TRUE
