value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_130938	1443	595	1.27810972629589	1.48965373455385	22.254907387635	1.01102115203136e-109	1.73380974242028e-109	3.04791697119043e-111	TRUE
NM_001114884	7094	346	4.35775538729846	4.56929939555642	88.7639927988081	0	0	0	TRUE
NM_001079984	1595	485	1.71749977157774	1.9290437798357	28.0777480346848	1.83165613485888e-173	3.47788085097476e-173	6.11387271054719e-175	TRUE
NM_001030204	455	232	0.971741739958486	1.18328574821644	10.4678720593413	1.21339938598045e-25	1.59721393793819e-25	2.80779104474754e-27	TRUE
NM_131778	728	367	0.988158387355483	1.19970239561344	13.3864999430552	7.25184375934312e-41	1.03562315861692e-40	1.82055350346578e-42	TRUE
NM_001003612	1106	508	1.12245098346254	1.3339949917205	17.9247594942668	7.5576657454614e-72	1.18595850017499e-71	2.084832580745e-73	TRUE
NM_001002668	562	566	-0.0102319226109557	0.201312085647	2.34640104892636	0.0189556987217939	0.0197962306038036	0.000348003969216978	FALSE
NM_131163	1089	219	2.31400117911573	2.52554518737369	27.3915912207634	3.45405783035743e-165	6.49837817224473e-165	1.14236969788563e-166	TRUE
NM_001128805	425	88	2.27188741238777	2.48343142064572	16.9497713326614	1.93203756031781e-64	2.97617136699551e-64	5.23190232278541e-66	TRUE
NM_001006070	12160	256	5.56985560833095	5.7813996165889	119.185109885873	0	0	0	TRUE
NM_001002327	709	610	0.216976384789268	0.428520393047224	5.39336524091579	6.91501911083046e-08	7.84830572888237e-08	1.37967757596976e-09	TRUE
NM_001089531	512	97	2.40008715781287	2.61163116607083	19.1344539349943	1.30438806723004e-81	2.09738690545333e-81	3.68706034340312e-83	TRUE
NM_001083035	382	245	0.640790889033179	0.852334897291135	7.31663746236256	2.54261552442695e-13	3.04329906903267e-13	5.34990815541527e-15	TRUE
NM_001089404	15078	325	5.535861548686	5.74740555694395	132.716456023686	0	0	0	TRUE
NM_001002700	986	361	1.44958880949074	1.6611328177487	19.9133641315368	3.11666695262226e-88	5.10361379341726e-88	8.97179818221794e-90	TRUE
NM_001025504	11492	412	4.80184175034931	5.01338575860726	114.775830591999	0	0	0	TRUE
NM_001110114	538	160	1.74953426766926	1.96107827592722	16.4859653573173	4.62842620773334e-61	7.06377183749384e-61	1.24176197291753e-62	TRUE
NM_001002109	3858	587	2.71642073493905	2.92796474319701	55.7456834604532	0	0	0	TRUE
NM_001030244	927	321	1.52999604150323	1.74154004976118	19.9629098344609	1.15770837164416e-88	1.89810160772697e-88	3.33673064678887e-90	TRUE
NM_001002215	5686	360	3.98134528734785	4.19288929560581	77.8369782753695	0	0	0	TRUE
NM_001017661	375	225	0.736965594166206	0.948509602424162	7.93394278894617	2.12295922911087e-15	2.5968670463998e-15	4.56511170112487e-17	TRUE
NM_001024430	685	498	0.459958245779807	0.671502254037764	7.96474152059408	1.6556949894556e-15	2.02622350524103e-15	3.56196003399321e-17	TRUE
NM_213397	1123	525	1.09696859984712	1.30851260810507	17.7953742690166	7.67528750800657e-71	1.20229664964129e-70	2.11355391147571e-72	TRUE
NM_001115051	2825	234	3.59367043260651	3.80521444086446	53.2515455322106	0	0	0	TRUE
NM_001328521	1630	1399	0.220476001953687	0.432020010211643	8.23949356896236	1.72941105329654e-16	2.13502405525765e-16	3.75322383575706e-18	TRUE
NM_001115108	3735	244	3.93615519011371	4.14769919837167	62.8958558861953	0	0	0	TRUE
NM_001327991	885	272	1.70207080372002	1.91361481197798	20.8030345371615	4.06274239730679e-96	6.7698854471718e-96	1.19009878896206e-97	TRUE
NM_001277109	1167	617	0.919462166557931	1.13100617481589	16.1695720644395	8.26705800646115e-59	1.25367127661006e-58	2.20386693348476e-60	TRUE
NM_001197328	412	433	-0.071722687543506	0.13982132071445	1.4103071899999	0.158448996405412	0.162401404405394	0.00285490376782284	FALSE
NM_001098254	672	188	1.83772857110112	2.04927257935908	18.9616214627531	3.54058722557295e-80	5.66986470923385e-80	9.96722791942793e-82	TRUE
NM_001081497	813	381	1.09346435458171	1.30500836283966	15.1098925312661	1.39366852610745e-51	2.06858391659874e-51	3.63642669173821e-53	TRUE
NM_001030216	3445	405	3.08851016981967	3.30005417807762	55.6643408019331	0	0	0	TRUE
NM_001020533	611	387	0.65883881367432	0.870382821932276	9.41981714093029	4.51874286023429e-21	5.7766888910175e-21	1.01550174032599e-22	TRUE
NM_001080577	15479	695	4.47715548305646	4.68869949131442	131.789782669932	0	0	0	TRUE
