	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_1K	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_1K	NAI_sphere	NAI_shield
NM_001270973	7.38663681598	7.43019597724	6.7890750563	6.17773236117	6.41428764321	6.45660291604	5.23758547829	7.44531871047	7.34513811468	6.63535687484	6.22624743538	6.27581377839	6.45750964761	5.78283214141
NM_001114466	0.997978738515	0.954228964356	0.958035511939	1.08788912577	0.81928542007	0.75900586901	0.462164420624	0.87622773621	0.888041031285	0.87820593164	0.794693961898	0.893658516979	0.633164077216	0.307368561289
NM_001326523	3.60475691545	3.71087345812	2.98119867548	2.5572112729	2.51497318738	2.48712989728	0.969123694281	3.45462402076	3.04394339305	3.17919202013	3.00687701179	2.87675253047	2.82294436396	1.20428326438
NM_213401	3.62542982168	3.56148860839	3.56462903124	3.87809206331	3.5307475042	3.45991751725	2.34169412441	3.26639340774	3.16026091342	3.56460031565	3.58486847568	3.67005746031	3.50604567456	2.96381137014
NM_201064	6.38876334897	6.57427799405	6.2400347461	5.71595046138	5.62909061223	5.54240534939	4.55688935528	6.31684535104	6.32282622699	5.89903735846	5.45262361409	5.17767217956	4.93553950215	4.00716474789
NM_001204464	1.44572451449	1.50277931222	1.53384025094	1.39820281413	1.61042059473	1.80479366204	2.0954963973	1.44834283297	1.83104139148	1.66928606755	1.51108909153	1.52384726276	1.50241656203	1.98436582153
NM_212804	1.32150528905	1.55857331476	2.22058454551	2.97428539363	3.09267492125	3.08754601193	3.12813940865	1.14260670416	1.72488970255	2.24417184747	3.193482001	3.32091727763	3.34992229589	3.14842495583
NM_001114462	0.647765946079	0.550474800135	0.699844441095	0.657921673712	0.927377232295	0.905301686532	1.49697491866	0.800711593533	0.637120142282	1.04354562499	0.97809580732	1.07377549603	1.16005165773	1.95601591989
NM_201066	3.96333172464	4.03320783511	3.92184130852	3.96728862831	3.92729360817	4.08015410611	3.31811088352	4.15337864346	4.33040350526	4.4708690889	4.59716202099	4.38221277401	4.03294212855	3.53571654051
NM_213405	5.53769238791	5.57507050603	5.697006891	5.3436657996	5.43828567305	5.2509036238	3.21783372341	5.7672574694	5.73782023757	5.76165247846	5.17591638369	4.92546721522	5.24765050813	3.90286118651
NM_201067	0.259027663118	0.398884700809	0.571003716245	0.69836884356	0.610227709284	0.520865845422	0.737021059914	0.30310148817	0.426479251127	0.583153680956	0.756813061234	0.652743743255	0.573299629238	0.541992127418
NM_001137555	0.241908399287	0.195033299218	0.307831930043	0.37239124293	0.469097395805	0.32760290975	0.524857602035	0.378036599823	0.323823913009	0.616572072745	0.654026145376	0.5988559153	0.624873941639	0.69568702427
NM_213404	2.76532061898	3.13120625748	3.83351406967	3.86881202642	3.7020057313	3.87476006362	1.33064683164	2.73269405207	3.69023204463	3.890362804	4.02683632581	4.03976279932	3.8293539855	1.71359856932
NM_001007399	0.310847314741	0.184440790741	0.783371298963	1.18283571362	0.737589162305	1.17791582767	0.455228223431	0.253987674694	0.586776421744	0.856839331877	1.05133116578	1.13819117635	0.948267778193	0.422866219166
NM_001077328	0.615210826963	1.0524380174	2.04682691872	1.98048354527	1.58470193624	1.43841370835	0.38060636626	0.730386681578	0.96411335122	1.55247274523	1.75058286507	1.69001244484	1.2697492431	0.4440320091
NM_001077329	5.32035381587	5.25640415856	5.54816761469	5.3092365243	5.43726244262	5.76518802153	6.22664582678	5.4377389228	5.47769954266	5.37749125078	5.22761194383	5.3059618328	5.41772770788	6.21229552591
NM_201069	4.38297088066	4.6652859305	5.32249243404	5.40400780296	4.84525687663	4.99131223454	1.37055818798	4.17322978686	4.99099006055	5.27649389595	5.59458515528	5.49604352736	4.99054012021	1.70287088199
NM_001077457	0.582445380231	0.607866277661	1.27926049111	1.81418798269	1.8803179539	1.97680524321	0.769705901015	0.414493281029	1.01364709021	1.27978887433	1.72285317134	2.10930258469	1.94465655709	0.528525158847
NM_001077327	3.54204665467	3.91373275331	4.04040103045	4.67664742478	4.58370858141	5.01085458613	3.07050213715	3.20189808126	3.80901388807	4.3140480946	5.23601784563	5.69350536256	5.56505784501	3.84628095629
NM_001077321	1.41481029541	0.87368405808	1.48403688804	1.76994607719	1.6808621898	1.4862247768	1.11891197705	2.16131057426	2.00140463046	2.01019570468	2.3208161036	2.24350546879	2.1066745964	1.83304058443
NM_001077450	1.67648184425	1.21438179333	1.41399993881	1.8068522269	1.57381648818	1.7687972497	1.30470662608	1.67551696988	1.28372462921	1.68594672678	1.88712470568	2.37773391829	2.06671795275	1.87791707123
NM_001077451	2.39292664419	2.62727727407	3.39717750853	3.62945723315	3.42123165756	3.66310900934	1.61777595072	2.18486242017	2.92662950959	3.30749047561	3.66550143003	3.630036503	3.57725148186	1.81916404462
NM_001171592	0.320637262953	0.852755585424	0.659025009188	0.696663025535	1.00344741044	1.17514546557	1.31064621937	0.238950352149	0.645085807977	0.542557122614	0.84379245609	0.764638265202	0.991102817252	1.02681237337
