"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001173499	122	0	7.93073733756289	8.17815399687562	11.2226535138366	3.15654474562213e-29	4.74944487738971e-29	1.42506076217775e-30	TRUE
NM_001004602	296	732	-1.30624647265509	-1.05882981334236	-11.2172237845114	3.3564227877936e-29	5.04932687951075e-29	1.5151258600008e-30	TRUE
NM_001115066	22	188	-3.09515723304034	-2.84774057372761	-11.2138167650201	3.48820188844031e-29	5.24697580558819e-29	1.57443336895144e-30	TRUE
NM_194422	483	244	0.985142041272887	1.23255870058562	11.2137323356917	3.49153186779465e-29	5.25138776205422e-29	1.57575724231009e-30	TRUE
NM_001045228	183	532	-1.53958259721715	-1.29216593790441	-11.2077195478716	3.7369748304962e-29	5.61990383976985e-29	1.68633598923944e-30	TRUE
NM_001045059	18	176	-3.28950661719499	-3.04208995788225	-11.2066609562177	3.78192546541047e-29	5.6868571238602e-29	1.70642632099216e-30	TRUE
NM_130929	480	1034	-1.10712987470642	-0.859713215393682	-11.2047699459933	3.86356198577049e-29	5.80895325383287e-29	1.74306308631592e-30	TRUE
NM_200279	28486	30848	-0.114923903825721	0.132492755487014	11.2023914684249	3.96872965955304e-29	5.96639724185278e-29	1.79030650379373e-30	TRUE
NM_200722	8491	11804	-0.475269448253892	-0.227852788941157	-11.1950170203878	4.31319411747484e-29	6.48351185734034e-29	1.94547445889064e-30	TRUE
NM_001128335	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_001089349	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_001012260	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_131384	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_001130642	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_001136243	0	140	-8.12928301694497	-7.88186635763223	-11.1946724161977	4.32999689212262e-29	6.50618237234392e-29	1.95172296470785e-30	TRUE
NM_131690	320	124	1.36773178450049	1.61514844381322	11.1934372570387	4.39075814142931e-29	6.59485991250439e-29	1.9788861040199e-30	TRUE
